,,
Diameter Base,60.5,mm
Height Base,32.0,mm
Base RPM,4050.0,-
Base SPL,51.400000000000006,dBA
Tip Speed ,12.829100625,m/s
,,
,,
Diameter Scaled,50.0,mm
Height Scaled,20.0,mm
Scaled RPM,8000.0,-
Scaled SPL,60.3867722667122,dBA
Tip Speed ,20.9433333333333,m/s
