CFM,CMH,inH20,Pa
0.0,0.0,0.0,0.0
1.0,1.69901082,0.0017530995566791502,0.43624129368404
2.0,3.39802164,0.007012398226716601,1.74496517473616
3.0,5.09703246,0.0157778960101124,3.92617164315637
4.0,6.79604328,0.0280495929068664,6.97986069894463
5.0,8.4950541,0.043827488916978796,10.906032342101
6.0,10.19406492,0.06311158404044939,15.7046865726254
7.0,11.89307574,0.0859018782772784,21.375823390518
8.0,13.59208656,0.11219837162746601,27.9194427957786
9.0,15.29109738,0.14200106409101101,35.3355447884072
10.0,16.9901082,0.17530995566791502,43.624129368404
11.0,18.68911902,0.21212504635817703,52.785196535768804
12.0,20.38812984,0.252446336161798,62.8187462905018
13.0,22.08714066,0.29627382507877603,73.72477863260261
14.0,23.78615148,0.343607513109113,85.5032935620717
15.0,25.4851623,0.39444740025280906,98.154291078909
