CFM,CMH,inH20,Pa
0.0,0.0,0.0,0.0
1.0,1.69901082,0.003506199,0.87248255916
2.0,3.39802164,0.014024796,3.48993023664
3.0,5.09703246,0.031555791,7.852343032439999
4.0,6.79604328,0.056099184,13.95972094656
5.0,8.4950541,0.08765497500000001,21.812063978999998
6.0,10.19406492,0.126223164,31.409372129759998
7.0,11.89307574,0.171803751,42.75164539884
8.0,13.59208656,0.224396736,55.83888378624
9.0,15.29109738,0.284002119,70.67108729195999
10.0,16.9901082,0.35061990000000004,87.24825591599999
11.0,18.68911902,0.424250079,105.57038965836
12.0,20.38812984,0.504892656,125.63748851903999
13.0,22.08714066,0.5925476310000001,147.44955249804
14.0,23.78615148,0.687215004,171.00658159536
15.0,25.4851623,0.788894775,196.308575811
